title,price,bedrooms,bathrooms,area,garage,location_city,url
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
3-BEDROOM APARTMENT,"OMR45,000",3,3,,SHADED,Bausher,https://hilalprp.com.om/property/3-bedroom-apartment-35/
3-BEDROOM VILLA,"OMR290,000",3,4,,SHADED,Al Mawaleh,https://hilalprp.com.om/property/3-bedroom-villa-3/
6-BEDROOM TWIN VILLA,"OMR180,000",6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-twin-villa-13/
7-BEDROOM DETACHED VILLA,"OMR300,000",7,9,758.0,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-9/
4-BEDROOM DETACHED VILLA,"OMR80,000",4,6,,SHADED,Al Hail,https://hilalprp.com.om/property/4-bedroom-detached-villa-19/
5-BEDROOM TWIN VILLA,OMR700,5,7,,UNSHADED,Al Ansab,https://hilalprp.com.om/property/5-bedroom-twin-villa-21/
7-BEDROOM TWIN VILLA,"OMR105,000",7,8,573.0,SHADED,Property Location,https://hilalprp.com.om/property/7-bedroom-twin-villa-3/
6+1 BEDROOM DETACHED VILLA,OMR180,6,7,,SHADED,Bausher,https://hilalprp.com.om/property/6-bedroom-detached-villa-20/
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",4,5,260.0,OUTSIDE,Al Khoudh,https://hilalprp.com.om/property/41-compound-villa-2/
7-BEDROOM DETACHED VILLA,OMR220,7,9,,SHADED,Al Ansab,https://hilalprp.com.om/property/7-bedroom-detached-villa-5/
